categorySlug,playlistId,channelId,rate,views
HLTH,PLOGi5-fAu8bGef9WhnR7R59IfKuREXZiL,UCAuUUnT6oDeKwE6v1NGQxug,1,775933
BUSN,PLOGi5-fAu8bG4ceHwP5jX8o1DP-pajg2g,UCAuUUnT6oDeKwE6v1NGQxug,8,150005
DSGN,PLOGi5-fAu8bEQFq_0nUqXg5OTzPf4rTgM,UCAuUUnT6oDeKwE6v1NGQxug,8,713412
SCLS,PLOGi5-fAu8bEVn7zze5fdeP9CIYh9gLEK,UCAuUUnT6oDeKwE6v1NGQxug,9,457580
SCLS,PL10g2YT_ln2iMSdZgmrOMkvZ6xtSh8LBa,UCdksaQxXH13BMeHo09MorBg,4,723935
SCLS,PL10g2YT_ln2hvgU5Oc4lh9p3mOI-13Gru,UCdksaQxXH13BMeHo09MorBg,6,960336
SCLS,PLAE75C73040A8D43D,UCdksaQxXH13BMeHo09MorBg,8,144897
SCLS,PL10g2YT_ln2hlLudk7cJ3lLh8s22D8SWa,UCdksaQxXH13BMeHo09MorBg,6,377605
SCLS,PLA9B83FEBCB21FC08,UCdksaQxXH13BMeHo09MorBg,2,767673
SCLS,PL10g2YT_ln2hrERiFZ827sf5jbJFXKyVv,UCdksaQxXH13BMeHo09MorBg,1,372431
SCLS,PLF676C5D39D2E6718,UCdksaQxXH13BMeHo09MorBg,7,273403
SCLS,PLhdwy3ASoEfmyW03rHxEFnNsHcbAMo9yh,UC3N_1qJJKfUQu8GzW5Lrh2g,6,49733
PHYS,PL712E709B05086D32,UCUHW94eEFW7hkUMVaZz4eDg,7,631344
PHYS,PL0E2ABD1D84697428,UCUHW94eEFW7hkUMVaZz4eDg,3,544429
PHYS,PLoaVOjvkzQtyKaeLbEOiA5Qf1W9BdZEJL,UCUHW94eEFW7hkUMVaZz4eDg,8,183732
PHYS,PLC30D40E449CB64DD,UCoCHQ_ANSysYcMeUR25v8iQ,8,622252
PHYS,PL7A1F4CF36C085DE1,UCtESv1e7ntJaLJYKIO1FoYw,4,702862
PHYS,PL9eEsN9D48mf4GGDAn1_zr-rmXv_Wmjuz,UCtESv1e7ntJaLJYKIO1FoYw,7,379798
LFST,PLvdeRYvP0yPVmQLMFxIHyAfFEWUcgxcuO,UCFqaprvZ2K5JOULCvr18NTQ,7,114882
LFST,PLvdeRYvP0yPXq_XulO_dtHEAukwE_Hb-5,UCFqaprvZ2K5JOULCvr18NTQ,5,767603
LFST,PLvdeRYvP0yPXCQ1O5ScriecYYoxZFPI_1,UCFqaprvZ2K5JOULCvr18NTQ,7,366897
LFST,PLvdeRYvP0yPXU_39wg3ZgMfVuCRYwsgjF,UCFqaprvZ2K5JOULCvr18NTQ,3,9478
LFST,PLvdeRYvP0yPUhhd40mNCvMAv0Y1ILUxvS,UCFqaprvZ2K5JOULCvr18NTQ,8,5583
LANG,PLF467B6C12B713A03,UC8pPDhxSn1nee70LRKJ0p3g,8,990608
LANG,PLbvnlSJNf_DYX8jVA_kcIpQuRBXcf2XIZ,UC8pPDhxSn1nee70LRKJ0p3g,7,162179
LANG,PLbvnlSJNf_DbLvXrPvOz_ex3hvTPb04PY,UC8pPDhxSn1nee70LRKJ0p3g,1,635527
LANG,PL8AC561C1AE953017,UC8pPDhxSn1nee70LRKJ0p3g,5,421000
LANG,PLbvnlSJNf_DY7Olv13JrMwgdKsJ0Xwohq,UC8pPDhxSn1nee70LRKJ0p3g,5,405239
LANG,PLbvnlSJNf_DaKQi3YG30D_NyX881Wsiln,UC8pPDhxSn1nee70LRKJ0p3g,6,209508
LANG,PLd9hCvj34W5hJZwjdghwQQi3XhpSZO9sx,UCKyTokYo0nK2OA-az-sDijA,4,597183
LANG,PLd9hCvj34W5gf8KTJU_vLuc9dLTTWFahC,UCKyTokYo0nK2OA-az-sDijA,3,979966
LANG,PLD6B222E02447DC07,UCHaHD477h-FeBbVh9Sh7syA,7,295504
LANG,PLcetZ6gSk96_kE1PQIEn0uywuqyjUC7oa,UCHaHD477h-FeBbVh9Sh7syA,1,211581
LANG,PLcetZ6gSk969QRNrS45IZKL1uAEC6IHeG,UCHaHD477h-FeBbVh9Sh7syA,7,176614
LANG,PLcetZ6gSk96_zHuVg6Ecy2F7j4Aq4valQ,UCHaHD477h-FeBbVh9Sh7syA,3,821140
LANG,PLcetZ6gSk96_2E-Yy-13_CAbtNCA7lnrU,UCHaHD477h-FeBbVh9Sh7syA,1,272931
LANG,PLcetZ6gSk96_UR0qeay5Dh52SvAD-vmGH,UCHaHD477h-FeBbVh9Sh7syA,9,169559
LANG,PL60A32CC26E6CC8DD,UCHaHD477h-FeBbVh9Sh7syA,3,75674
LANG,PLEFD56D34AF2AA003,UC3I2scc15jBct61vlxt3zcw,3,567691
LANG,PL4453863D9B3A0FB5,UC3I2scc15jBct61vlxt3zcw,4,150099
LANG,PL773179288C6DDC5D,UC3I2scc15jBct61vlxt3zcw,4,89112
LANG,PLB7361C8C8E34AC3D,UC1FxNa0tcIwE-0rnotN0O8A,7,758091
LANG,PL957959068437A898,UC1FxNa0tcIwE-0rnotN0O8A,4,655364
LANG,PL2D9FE8979F5FF678,UC1FxNa0tcIwE-0rnotN0O8A,3,221681
LANG,PLD60ED66E4CF7806F,UC1FxNa0tcIwE-0rnotN0O8A,8,247984
LANG,PLA54C9D78D064CAF0,UC1FxNa0tcIwE-0rnotN0O8A,4,987749
LANG,PL99CA3DAFB99B349A,UC1FxNa0tcIwE-0rnotN0O8A,1,822646
LANG,PL6Hvozbgsbx7wW2JHehernnEmJklnvVlc,UCqN89hgtELlpvzsbVNUvy7A,3,620120
LANG,PL6Hvozbgsbx6xgxHBY35bHHEEn7hYpa44,UCqN89hgtELlpvzsbVNUvy7A,7,565741
LANG,PL6Hvozbgsbx4Riw3mrYMFOwWszrqyrERO,UCqN89hgtELlpvzsbVNUvy7A,3,357907
LANG,PL6Hvozbgsbx7Lr28L1W_2gvXDp1OG1Qm-,UCqN89hgtELlpvzsbVNUvy7A,2,173419
LANG,PL6Hvozbgsbx5qy4iuBYAIoKW9hDw4LDn-,UCqN89hgtELlpvzsbVNUvy7A,6,983608
LANG,PL6Hvozbgsbx4dtbBFgK0aeJbHYt3gRtNe,UCqN89hgtELlpvzsbVNUvy7A,6,973053
LANG,PL6Hvozbgsbx7xU0S1AQU6aCJBotFZyj4o,UCqN89hgtELlpvzsbVNUvy7A,3,404817
LANG,PL6Hvozbgsbx7wDaHC4BxtK75OS2LB2fVI,UCqN89hgtELlpvzsbVNUvy7A,8,893220
LANG,PLioS_-8erSI1Lc7pQfywogTRYy5XdBfd1,UCSJyGe2H0C9q6QH0-hH04zw,8,809884
LANG,PLxK8JX0gFX40H-j1HPoP9xXguKFJXlkbK,UCh7GCHY16gK7JRnXItqFDmw,2,364506
LANG,PL688B13824DC61470,UCPUcnh4zOQnAL_lsVKl2blQ,9,358595
LANG,PLB32CC51FB6BD4866,UCPUcnh4zOQnAL_lsVKl2blQ,7,617362
LANG,PLVUrUtmGGq2wWMN-mvOJfxOHaWdryXHu-,UCPUcnh4zOQnAL_lsVKl2blQ,1,68284
LANG,PL77BE03ABBFD237AC,UCPUcnh4zOQnAL_lsVKl2blQ,1,518603
SCLS,PLFjPz_OzQyjMWWLE-MSO4yzaPQTQSFaWH,UCuXnKeesX_QALxTBfg17lSQ,3,904429
BUSN,PLFjPz_OzQyjNmgecnm1D3FqiedXSP7eef,UCuXnKeesX_QALxTBfg17lSQ,7,412026
EGNE,PLA9B1634D849F93F0,UCuXnKeesX_QALxTBfg17lSQ,8,963141
SCLS,PLFjPz_OzQyjPnzGxFSwfwetX_T8rert5I,UCuXnKeesX_QALxTBfg17lSQ,5,897356
PHYS,PLFjPz_OzQyjOAnkSx5MKQtz0OpummvjH9,UCuXnKeesX_QALxTBfg17lSQ,4,347215
INTE,PL7310EA63BB14C26C,UCuXnKeesX_QALxTBfg17lSQ,3,517154
PHYS,PLllVwaZQkS2qK4Z6xBVDRak8an1-kqsgm,UCEik-U3T6u6JA0XiHLbNbOw,3,427732
PHYS,PLllVwaZQkS2rxqMXTH-cdE0LIX9Zi_oS1,UCEik-U3T6u6JA0XiHLbNbOw,1,832220
PHYS,PL7A750281106CD067,UCEik-U3T6u6JA0XiHLbNbOw,7,871526
PHYS,PL43285691048DAD00,UCEik-U3T6u6JA0XiHLbNbOw,6,399802
PHYS,PLllVwaZQkS2rtZG_L7ho89oFsaYL3kUWq,UCEik-U3T6u6JA0XiHLbNbOw,4,307931
PHYS,PLCC2DB523BA8BCB53,UCEik-U3T6u6JA0XiHLbNbOw,8,112502
PHYS,PLFCE4D99C4124A27A,UCEik-U3T6u6JA0XiHLbNbOw,6,980591
PHYS,PL495D7879B0AB8AB7,UCEik-U3T6u6JA0XiHLbNbOw,2,732702
PHYS,PLllVwaZQkS2op2kDuFifhStNsS49LAxkZ,UCEik-U3T6u6JA0XiHLbNbOw,5,453797
PHYS,PL0B4CED0AB112B993,UCEik-U3T6u6JA0XiHLbNbOw,1,785187
PHYS,PL4275A5DE33B0E496,UCEik-U3T6u6JA0XiHLbNbOw,8,367344
PHYS,PLllVwaZQkS2omBpLjQm_BAQKsQ7lq86ku,UCEik-U3T6u6JA0XiHLbNbOw,3,634029
PHYS,PL75EAAEA330F6B642,UCEik-U3T6u6JA0XiHLbNbOw,4,900753
MATH,PLUu6BcKWduDzxEicFAvdLSJp2Om9ElBi8,UCvYgy9xNtl7jeJAdzppgK8g,4,263275
HUMA,PLUu6BcKWduDxlTiU1Ba3yuNl0SXL4wgTh,UCvYgy9xNtl7jeJAdzppgK8g,8,324343
MATH,PL1A3FB02FD575A82D,UCvYgy9xNtl7jeJAdzppgK8g,1,176245
HUMA,PLEC66FBF0F434D1AD,UCvYgy9xNtl7jeJAdzppgK8g,5,87550
MATH,PL0AA812B44326DEDF,UCvYgy9xNtl7jeJAdzppgK8g,4,95250
PHYS,PL836EDE3CADB53844,UCvYgy9xNtl7jeJAdzppgK8g,3,778672
HLTH,PLBD4F3C4C945ACCB6,UCvYgy9xNtl7jeJAdzppgK8g,5,121699
HUMA,PL37BFA95E6D1CA971,UCvYgy9xNtl7jeJAdzppgK8g,1,75866
MATH,PL4D832F5C8F16A508,UCvYgy9xNtl7jeJAdzppgK8g,8,606464
PHYS,PL7B6EF21182CBD51F,UCvYgy9xNtl7jeJAdzppgK8g,6,994506
MATH,PLA93F2848A8657042,UCvYgy9xNtl7jeJAdzppgK8g,1,428706
MATH,PL1A26EC4FC61D2EDD,UCvYgy9xNtl7jeJAdzppgK8g,3,42014
MATH,PLF8F9A781B09FFF26,UCvYgy9xNtl7jeJAdzppgK8g,4,125988
LANG,PLFC047CF597A0B511,UCvYgy9xNtl7jeJAdzppgK8g,6,261181
HUMA,PL56409187B3F84026,UCvYgy9xNtl7jeJAdzppgK8g,3,403798
HUMA,PL987FEE57EAA1E1F5,UCvYgy9xNtl7jeJAdzppgK8g,4,157478
PHYS,PLDE7A1871D65A34CE,UCvYgy9xNtl7jeJAdzppgK8g,3,475610
PHYS,PLC8F792A6680FCB63,UCvYgy9xNtl7jeJAdzppgK8g,1,757402
PHYS,PL772556F1EFC4D01C,UCHnyfMqiRRG1u-2MsSQLbXA,8,863667
PHYS,PL0E2ABD1D84697428,UCUHW94eEFW7hkUMVaZz4eDg,1,237983
PHYS,PLB3FCEEAC84884760,UCZYTClx2T1of7BRZ86-8fow,6,202247
PHYS,PL245B82FF8F8ECAC2,UCZYTClx2T1of7BRZ86-8fow,5,790106
PHYS,PL8D17C3F1E4DD2126,UCZYTClx2T1of7BRZ86-8fow,6,811424
PHYS,PLsNB4peY6C6KgGVbYmTp0N5zPIXYE3ebY,UCZYTClx2T1of7BRZ86-8fow,9,614366
SCLS,PL8dPuuaLjXtOfse2ncvffeelTrqvhrz8H,UCX6b17PVsYBQ0ip5gyeme-Q,2,117362
PHYS,PL8dPuuaLjXtPAJr1ysd5yGIyiSFuh0mIL,UCX6b17PVsYBQ0ip5gyeme-Q,8,352229
SCLS,PL8dPuuaLjXtOAKed_MxxWBNaPno5h3Zs8,UCX6b17PVsYBQ0ip5gyeme-Q,6,35951
PHYS,PL8dPuuaLjXtOPRKzVLY0jJY-uHOH9KVU6,UCX6b17PVsYBQ0ip5gyeme-Q,3,845742
PHYS,PL3EED4C1D684D3ADF,UCX6b17PVsYBQ0ip5gyeme-Q,6,904060
SCLS,PL8dPuuaLjXtNdTKZkV_GiIYXpV9w4WxbX,UCX6b17PVsYBQ0ip5gyeme-Q,2,215542
PHYS,PL8dPuuaLjXtPHzzYuWy6fYEaX9mQQ8oGr,UCX6b17PVsYBQ0ip5gyeme-Q,3,114533
HUMA,PL8dPuuaLjXtNjasccl-WajpONGX3zoY4M,UCX6b17PVsYBQ0ip5gyeme-Q,1,687241
SCLS,PL8dPuuaLjXtMwV2btpcij8S3YohW9gUGN,UCX6b17PVsYBQ0ip5gyeme-Q,8,167400
HUMA,PLBDA2E52FB1EF80C9,UCX6b17PVsYBQ0ip5gyeme-Q,2,189175
HUMA,PL8dPuuaLjXtMwmepBjTSG593eG7ObzO7s,UCX6b17PVsYBQ0ip5gyeme-Q,8,33415
SCLS,PL8dPuuaLjXtPNZwz5_o_5uirJ8gQXnhEO,UCX6b17PVsYBQ0ip5gyeme-Q,6,937411
HUMA,PL8dPuuaLjXtOeEc9ME62zTfqc0h6Pe8vb,UCX6b17PVsYBQ0ip5gyeme-Q,6,22015
HLTH,PL5lPziO_t_Vjq5bzvW1HrEE3gnnySBn5w,UCiP6wD_tYlYLYh3agzbByWQ,1,156579
HLTH,PL5lPziO_t_VhxjTwTatvKIL6eYtynKXnQ,UCiP6wD_tYlYLYh3agzbByWQ,9,604189
HLTH,PL5lPziO_t_VgdnI02Bi4XDlJTphcuX6dW,UCiP6wD_tYlYLYh3agzbByWQ,6,474660
HLTH,PL5lPziO_t_VgzkYXnOH3yCqFf8nGdMthk,UCiP6wD_tYlYLYh3agzbByWQ,2,562594
HLTH,PL5lPziO_t_VgbyNGxl8d7Pio3tdwMXp-c,UCiP6wD_tYlYLYh3agzbByWQ,5,410117
HLTH,PL5lPziO_t_VhhfkJZgOgAwxYlfzL89q4T,UCiP6wD_tYlYLYh3agzbByWQ,4,494474
LFST,PLcpoB2VESJmetxUiPKj50S8_Y9ETTSJhj,UCpSgg_ECBj25s9moCDfSTsA,4,762136
LFST,PLcpoB2VESJmfo3PMUml4euEpwA5lt_n2L,UCpSgg_ECBj25s9moCDfSTsA,3,149012
LFST,PLcpoB2VESJme4zrVtov6cLRaNtqB4YMLS,UCpSgg_ECBj25s9moCDfSTsA,5,32082
LFST,PLcpoB2VESJmeruWlMaqLprM8h0QAVVgWe,UCpSgg_ECBj25s9moCDfSTsA,4,410587
LFST,PLcpoB2VESJmcycjbws1r4_Xwu9F4FeXim,UCpSgg_ECBj25s9moCDfSTsA,8,10806
LFST,PLcpoB2VESJmeu5vQ3jnokKPPCEQCfO7cE,UCpSgg_ECBj25s9moCDfSTsA,9,301423
LFST,PLcpoB2VESJmedl6QtGVY7UGXWtXMOaRgU,UCpSgg_ECBj25s9moCDfSTsA,8,282113
LFST,PLcpoB2VESJmfrtJcaOX8_zDoUb5AwZgQd,UCpSgg_ECBj25s9moCDfSTsA,5,130491
LFST,PLcpoB2VESJmekv4lb3uZkMc5k7fyMSIzU,UCpSgg_ECBj25s9moCDfSTsA,8,854958
MSIC,PLBA3A31719AB4277B,UCXm0v3a9g17bSATE-DMMxRg,9,991059
MSIC,PLzsm-CqAqNeWSWZ_4zKcsQIjJKBQxoyv6,UCXm0v3a9g17bSATE-DMMxRg,9,478426
LANG,PLpLRk365gbPaslG6vcDsKjwyoPMDctzw7,UC4cmBAit8i_NJZE8qK8sfpA,2,940854
LANG,PLpLRk365gbPZnk7MF4xX0ZwoTUoOazsT6,UC4cmBAit8i_NJZE8qK8sfpA,6,482140
LANG,PLpLRk365gbPaY0U_9zYYRY5JmStMZ9NSI,UC4cmBAit8i_NJZE8qK8sfpA,9,879302
LANG,PLpLRk365gbPZNsx8twWQ-bAuKOJ3wJ760,UC4cmBAit8i_NJZE8qK8sfpA,1,692086
LANG,PLpLRk365gbPYp6asP_n8ru-D6WWje4mCB,UC4cmBAit8i_NJZE8qK8sfpA,1,651617
LANG,PLpLRk365gbPb1TnZNvDIuXP3tDeIcu8kB,UC4cmBAit8i_NJZE8qK8sfpA,5,802496
LANG,PLpLRk365gbPb1TnZNvDIuXP3tDeIcu8kB,UC4cmBAit8i_NJZE8qK8sfpA,9,891789
PHYS,PLsmqeqKj7M-rZTTXNXuL07poGP5B6TKKu,UCH4BNI0-FOK2dMXoFtViWHw,1,666316
PHYS,PLsmqeqKj7M-oNkC2zP45Gv82GAH2NxIk0,UCH4BNI0-FOK2dMXoFtViWHw,4,229820
PHYS,PLsmqeqKj7M-o844Z3VzhHjWRgsDR5mp1H,UCH4BNI0-FOK2dMXoFtViWHw,6,496540
PHYS,PLsmqeqKj7M-pit0HHSLQSD6m77G07rm5Y,UCH4BNI0-FOK2dMXoFtViWHw,6,454195
PHYS,PLsmqeqKj7M-ozZSbXmmH2iav-RmfTqnbW,UCH4BNI0-FOK2dMXoFtViWHw,2,605056
PHYS,PLsmqeqKj7M-oZhqWSd-Zqym_tPhUAdPg_,UCH4BNI0-FOK2dMXoFtViWHw,2,542873
LANG,PLaNNx1k0ao1uqeoX7foS0JcHO5TBrBdyu,UCVBErcpqaokOf4fI5j73K_w,7,271080
LANG,PLaNNx1k0ao1v8I2C8DAxXOayC3dG00xtj,UCVBErcpqaokOf4fI5j73K_w,6,702652
LANG,PLaNNx1k0ao1u-x_nKdKNh7cKALzelzXjY,UCVBErcpqaokOf4fI5j73K_w,9,298437
INTE,PLzH6n4zXuckrOPXf9THuMOKnXnUJ55xw5,UC9-y-6csu5WGm29I7JiwpnA,8,755980
INTE,PLzH6n4zXuckrPkEUK5iMQrQyvj9Z6WCrm,UC9-y-6csu5WGm29I7JiwpnA,5,684427
INTE,PLzH6n4zXuckrEzV0CB1xXbSdsP_a7VUoK,UC9-y-6csu5WGm29I7JiwpnA,2,522857
INTE,PLzH6n4zXuckpIQPv8hiHpJkSyv0fmXEYr,UC9-y-6csu5WGm29I7JiwpnA,1,221734
INTE,PLzH6n4zXuckr_brLgi8SlrLzoprSApFrG,UC9-y-6csu5WGm29I7JiwpnA,6,68010
INTE,PLzH6n4zXuckpXGbML1y7pHxCkMRYYoG-c,UC9-y-6csu5WGm29I7JiwpnA,3,166808
LANG,PLF467B6C12B713A03,UC8pPDhxSn1nee70LRKJ0p3g,6,998550
LFST,PLyvuS7237e78HufHo_5X7A6z01yhGOnxI,UCHIRBiAd-PtmNxAcLnGfwog,9,707668
LFST,PL9yg9axXkCR_0cjXcmMOWgIGKTss80bMb,UCJcycnanWtyOGcz34jUlYZA,3,469342
MSIC,PLThYwnIoLwyUe_YPrFLXUj1lxBZLhB0hm,UCBiJBaDaM3K6vPVggLhTyWA,3,12877
MSIC,PLThYwnIoLwyW2tOI6Q7rmJjUHH3Ut-TlR,UCBiJBaDaM3K6vPVggLhTyWA,2,588745
MSIC,PLThYwnIoLwyWlkravppCDTgtcMgv-rate,UCBiJBaDaM3K6vPVggLhTyWA,1,437607
MSIC,PLThYwnIoLwyXZr0xQHMfEZcoYPXWtTVJO,UCBiJBaDaM3K6vPVggLhTyWA,9,861045
MSIC,PLThYwnIoLwyWr50V_UEUV6YVT67MHE96P,UCBiJBaDaM3K6vPVggLhTyWA,7,117341
MSIC,PLThYwnIoLwyVgSyqj3KkJMLTKYVmNFxcw,UCBiJBaDaM3K6vPVggLhTyWA,7,973161
MSIC,PLThYwnIoLwyWbkbxX4BNsUkdQvqHk1iR2,UCBiJBaDaM3K6vPVggLhTyWA,2,169810
MSIC,PLA580898E5E521ECB,UCBiJBaDaM3K6vPVggLhTyWA,5,595655
MSIC,PL7170ADE20481AECE,UCBiJBaDaM3K6vPVggLhTyWA,7,826525
LANG,PLfQSN9FlyB6RWrQawJdK0i07WGho635Ho,UCEKXieT70wByfvZwP1CxdPQ,4,595091
LANG,PLfQSN9FlyB6TT9yUCjC6QLTMphzLq2Ay0,UCEKXieT70wByfvZwP1CxdPQ,5,511956
LANG,PLXbBYv4UiyEpdVNPLMRVik4nKpk96cMUn,UCzQrtnJLZaH09xyZ1oKNq7Q,5,972686
LANG,PLXbBYv4UiyEoRpzBGDE5txE2cxE4QNPIs,UCzQrtnJLZaH09xyZ1oKNq7Q,6,429004
LANG,PLXbBYv4UiyEqJaFjWsBjja79SRmtwW8L6,UCzQrtnJLZaH09xyZ1oKNq7Q,9,271303
LFST,PL5p4I8S0IfPrK_Eq68X-aVR2UK-BppE1G,UCGUAAOySD9hKPL0qS2U_RRQ,7,51038
LFST,PL5p4I8S0IfPpr4jLQELjJ8xe3LzFj-dpb,UCGUAAOySD9hKPL0qS2U_RRQ,4,956884
LANG,PLrqHrGoMJdTScE0pL8EiEM1ZcfTWvwJFD,UCvn_XCl_mgQmt3sD753zdJA,5,225130
LANG,PLJicmE8fK0EjR_iVOzgiJfvRuDPqKlPQt,UCsooa4yRKGN_zEE8iknghZA,2,628413
LANG,PLF467B6C12B713A03,UC8pPDhxSn1nee70LRKJ0p3g,1,470191
LANG,PLbvnlSJNf_DYX8jVA_kcIpQuRBXcf2XIZ,UC8pPDhxSn1nee70LRKJ0p3g,4,421412
LANG,PLbvnlSJNf_DbLvXrPvOz_ex3hvTPb04PY,UC8pPDhxSn1nee70LRKJ0p3g,9,341633
LANG,PL8AC561C1AE953017,UC8pPDhxSn1nee70LRKJ0p3g,7,515498
LANG,PLbvnlSJNf_DY7Olv13JrMwgdKsJ0Xwohq,UC8pPDhxSn1nee70LRKJ0p3g,4,559086
LANG,PLbvnlSJNf_DaKQi3YG30D_NyX881Wsiln,UC8pPDhxSn1nee70LRKJ0p3g,3,890715
LANG,PLd9hCvj34W5hJZwjdghwQQi3XhpSZO9sx,UCKyTokYo0nK2OA-az-sDijA,6,921195
LANG,PLd9hCvj34W5gf8KTJU_vLuc9dLTTWFahC,UCKyTokYo0nK2OA-az-sDijA,2,938867
LANG,PLD6B222E02447DC07,UCHaHD477h-FeBbVh9Sh7syA,6,566428
LANG,PLcetZ6gSk96_kE1PQIEn0uywuqyjUC7oa,UCHaHD477h-FeBbVh9Sh7syA,6,941833
LANG,PLcetZ6gSk969QRNrS45IZKL1uAEC6IHeG,UCHaHD477h-FeBbVh9Sh7syA,4,367237
LANG,PLcetZ6gSk96_zHuVg6Ecy2F7j4Aq4valQ,UCHaHD477h-FeBbVh9Sh7syA,3,420515
LANG,PLcetZ6gSk96_2E-Yy-13_CAbtNCA7lnrU,UCHaHD477h-FeBbVh9Sh7syA,9,109584
LANG,PLcetZ6gSk96_UR0qeay5Dh52SvAD-vmGH,UCHaHD477h-FeBbVh9Sh7syA,8,896898
LANG,PL60A32CC26E6CC8DD,UCHaHD477h-FeBbVh9Sh7syA,2,915357
LANG,PLEFD56D34AF2AA003,UC3I2scc15jBct61vlxt3zcw,9,653737
LANG,PL4453863D9B3A0FB5,UC3I2scc15jBct61vlxt3zcw,9,45621
LANG,PL773179288C6DDC5D,UC3I2scc15jBct61vlxt3zcw,8,636668
LANG,PLB7361C8C8E34AC3D,UC1FxNa0tcIwE-0rnotN0O8A,1,296317
LANG,PL957959068437A898,UC1FxNa0tcIwE-0rnotN0O8A,4,914710
LANG,PL2D9FE8979F5FF678,UC1FxNa0tcIwE-0rnotN0O8A,2,601750
LANG,PLD60ED66E4CF7806F,UC1FxNa0tcIwE-0rnotN0O8A,4,952416
LANG,PLA54C9D78D064CAF0,UC1FxNa0tcIwE-0rnotN0O8A,9,608447
LANG,PL99CA3DAFB99B349A,UC1FxNa0tcIwE-0rnotN0O8A,4,805879
